Name,Example,,,,,,,,,,,,,,,,,,,,,,,,,,
Sim,age_range,2,0,1460,,,,,,,,,,,,,,,,,,,,,,,
Sim,steps_per_day,1,100,,,,,,,,,,,,,,,,,,,,,,,,
Sim,outwrite,1,100,,,,,,,,,,,,,,,,,,,,,,,,
Sim,irbc,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Sim,iterate,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Sim,debug,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Sim,interp,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Growth,sex,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Growth,wbirth,1,3.5,,,,,,,,,,,,,,,,,,,,,,,,
Growth,wchild,1,23,,,,,,,,,,,,,,,,,,,,,,,,
Growth,half,1,3,,,,,,,,,,,,,,,,,,,,,,,,
Growth,wadult,1,50,,,,,,,,,,,,,,,,,,,,,,,,
Growth,kappa,1,600,,,,,,,,,,,,,,,,,,,,,,,,
Growth,lambda,1,0.0095,,,,,,,,,,,,,,,,,,,,,,,,
Growth,LB,1,0.88,,,,,,,,,,,,,,,,,,,,,,,,
Phys,HCTB,1,0.52,,,,,,,,,,,,,,,,,,,,,,,,
Phys,HCTA,1,0.46,,,,,,,,,,,,,,,,,,,,,,,,
Phys,ASHWT,1,2800,,,,,,,,,,,,,,,,,,,,,,,,
Phys,BLDMOT,1,0.941176,,,,,,,,,,,,,,,,,,,,,,,,
Phys,BONIN,1,0.32,,,,,,,,,,,,,,,,,,,,,,,,
Phys,BRANIN,1,0.045,,,,,,,,,,,,,,,,,,,,,,,,
Phys,BRATIO,1,0.85,,,,,,,,,,,,,,,,,,,,,,,,
Phys,CRTWT,1,4000,,,,,,,,,,,,,,,,,,,,,,,,
Phys,H1TOBL,1,0.45,,,,,,,,,,,,,,,,,,,,,,,,
Phys,H1TOH2,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Phys,H1TOSI,1,0.45,,,,,,,,,,,,,,,,,,,,,,,,
Phys,HEPIN,1,0.055,,,,,,,,,,,,,,,,,,,,,,,,
Phys,IFETAL,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Phys,KWT,1,310,,,,,,,,,,,,,,,,,,,,,,,,
